id,mssubclass,mszoning,lotfrontage,lotarea,street,alley,lotshape,landcontour,utilities,lotconfig,landslope,neighborhood,condition1,condition2,bldgtype,housestyle,overallqual,overallcond,yearbuilt,yearremodadd,roofstyle,roofmatl,exterior1st,exterior2nd,masvnrtype,masvnrarea,exterqual,extercond,foundation,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtfintype2,bsmtfinsf2,bsmtunfsf,totalbsmtsf,heating,heatingqc,centralair,electrical,1stflrsf,2ndflrsf,lowqualfinsf,grlivarea,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,totrmsabvgrd,functional,fireplaces,fireplacequ,garagetype,garageyrblt,garagefinish,garagecars,garagearea,garagequal,garagecond,paveddrive,wooddecksf,openporchsf,enclosedporch,3ssnporch,screenporch,poolarea,poolqc,fence,miscfeature,miscval,mosold,yrsold,saletype,salecondition,saleprice
11,20,rl,70.0,11200,pave,NA,reg,lvl,allpub,inside,gtl,sawyer,norm,norm,1fam,1story,5,5,1965,1965,hip,compshg,hdboard,hdboard,none,0.0,ta,ta,cblock,ta,ta,no,rec,906,unf,0,134,1040,gasa,ex,y,sbrkr,1040,0,0,1040,1,0,1,0,3,1,ta,5,typ,0,NA,detchd,1965.0,unf,1,384,ta,ta,y,0,0,0,0,0,0,NA,NA,NA,0,2,2008,wd,normal,129500
12,60,rl,85.0,11924,pave,NA,ir1,lvl,allpub,inside,gtl,nridght,norm,norm,1fam,2story,9,5,2005,2006,hip,compshg,wdshing,wd shng,stone,286.0,ex,ta,pconc,ex,ta,no,glq,998,unf,0,177,1175,gasa,ex,y,sbrkr,1182,1142,0,2324,1,0,3,0,4,1,ex,11,typ,2,gd,builtin,2005.0,fin,3,736,ta,ta,y,147,21,0,0,0,0,NA,NA,NA,0,7,2006,new,partial,345000
13,20,rl,69.0,12968,pave,NA,ir2,lvl,allpub,inside,gtl,sawyer,norm,norm,1fam,1story,5,6,1962,1962,hip,compshg,hdboard,plywood,none,0.0,ta,ta,cblock,ta,ta,no,alq,737,unf,0,175,912,gasa,ta,y,sbrkr,912,0,0,912,1,0,1,0,2,1,ta,4,typ,0,NA,detchd,1962.0,unf,1,352,ta,ta,y,140,0,0,0,176,0,NA,NA,NA,0,9,2008,wd,normal,144000
14,20,rl,91.0,10652,pave,NA,ir1,lvl,allpub,inside,gtl,collgcr,norm,norm,1fam,1story,7,5,2006,2007,gable,compshg,vinylsd,vinylsd,stone,306.0,gd,ta,pconc,gd,ta,av,unf,0,unf,0,1494,1494,gasa,ex,y,sbrkr,1494,0,0,1494,0,0,2,0,3,1,gd,7,typ,1,gd,attchd,2006.0,rfn,3,840,ta,ta,y,160,33,0,0,0,0,NA,NA,NA,0,8,2007,new,partial,279500
15,20,rl,69.0,10920,pave,NA,ir1,lvl,allpub,corner,gtl,names,norm,norm,1fam,1story,6,5,1960,1960,hip,compshg,metalsd,metalsd,brkface,212.0,ta,ta,cblock,ta,ta,no,blq,733,unf,0,520,1253,gasa,ta,y,sbrkr,1253,0,0,1253,1,0,1,1,2,1,ta,5,typ,1,fa,attchd,1960.0,rfn,1,352,ta,ta,y,0,213,176,0,0,0,NA,gdwo,NA,0,5,2008,wd,normal,157000
16,45,rm,51.0,6120,pave,NA,reg,lvl,allpub,corner,gtl,brkside,norm,norm,1fam,1.5unf,7,8,1929,2001,gable,compshg,wd sdng,wd sdng,none,0.0,ta,ta,brktil,ta,ta,no,unf,0,unf,0,832,832,gasa,ex,y,fusea,854,0,0,854,0,0,1,0,2,1,ta,5,typ,0,NA,detchd,1991.0,unf,2,576,ta,ta,y,48,112,0,0,0,0,NA,gdprv,NA,0,7,2007,wd,normal,132000
17,20,rl,69.0,11241,pave,NA,ir1,lvl,allpub,culdsac,gtl,names,norm,norm,1fam,1story,6,7,1970,1970,gable,compshg,wd sdng,wd sdng,brkface,180.0,ta,ta,cblock,ta,ta,no,alq,578,unf,0,426,1004,gasa,ex,y,sbrkr,1004,0,0,1004,1,0,1,0,2,1,ta,5,typ,1,ta,attchd,1970.0,fin,2,480,ta,ta,y,0,0,0,0,0,0,NA,NA,shed,700,3,2010,wd,normal,149000
18,90,rl,72.0,10791,pave,NA,reg,lvl,allpub,inside,gtl,sawyer,norm,norm,duplex,1story,4,5,1967,1967,gable,compshg,metalsd,metalsd,none,0.0,ta,ta,slab,NA,NA,NA,NA,0,NA,0,0,0,gasa,ta,y,sbrkr,1296,0,0,1296,0,0,2,0,2,2,ta,6,typ,0,NA,carport,1967.0,unf,2,516,ta,ta,y,0,0,0,0,0,0,NA,NA,shed,500,10,2006,wd,normal,90000
19,20,rl,66.0,13695,pave,NA,reg,lvl,allpub,inside,gtl,sawyerw,rrae,norm,1fam,1story,5,5,2004,2004,gable,compshg,vinylsd,vinylsd,none,0.0,ta,ta,pconc,ta,ta,no,glq,646,unf,0,468,1114,gasa,ex,y,sbrkr,1114,0,0,1114,1,0,1,1,3,1,gd,6,typ,0,NA,detchd,2004.0,unf,2,576,ta,ta,y,0,102,0,0,0,0,NA,NA,NA,0,6,2008,wd,normal,159000
20,20,rl,70.0,7560,pave,NA,reg,lvl,allpub,inside,gtl,names,norm,norm,1fam,1story,5,6,1958,1965,hip,compshg,brkface,plywood,none,0.0,ta,ta,cblock,ta,ta,no,lwq,504,unf,0,525,1029,gasa,ta,y,sbrkr,1339,0,0,1339,0,0,1,0,3,1,ta,6,min1,0,NA,attchd,1958.0,unf,1,294,ta,ta,y,0,0,0,0,0,0,NA,mnprv,NA,0,5,2009,cod,abnorml,139000
21,60,rl,101.0,14215,pave,NA,ir1,lvl,allpub,corner,gtl,nridght,norm,norm,1fam,2story,8,5,2005,2006,gable,compshg,vinylsd,vinylsd,brkface,380.0,gd,ta,pconc,ex,ta,av,unf,0,unf,0,1158,1158,gasa,ex,y,sbrkr,1158,1218,0,2376,0,0,3,1,4,1,gd,9,typ,1,gd,builtin,2005.0,rfn,3,853,ta,ta,y,240,154,0,0,0,0,NA,NA,NA,0,11,2006,new,partial,325300
22,45,rm,57.0,7449,pave,grvl,reg,bnk,allpub,inside,gtl,idotrr,norm,norm,1fam,1.5unf,7,7,1930,1950,gable,compshg,wd sdng,wd sdng,none,0.0,ta,ta,pconc,ta,ta,no,unf,0,unf,0,637,637,gasa,ex,y,fusef,1108,0,0,1108,0,0,1,0,3,1,gd,6,typ,1,gd,attchd,1930.0,unf,1,280,ta,ta,n,0,0,205,0,0,0,NA,gdprv,NA,0,6,2007,wd,normal,139400
23,20,rl,75.0,9742,pave,NA,reg,lvl,allpub,inside,gtl,collgcr,norm,norm,1fam,1story,8,5,2002,2002,hip,compshg,vinylsd,vinylsd,brkface,281.0,gd,ta,pconc,gd,ta,no,unf,0,unf,0,1777,1777,gasa,ex,y,sbrkr,1795,0,0,1795,0,0,2,0,3,1,gd,7,typ,1,gd,attchd,2002.0,rfn,2,534,ta,ta,y,171,159,0,0,0,0,NA,NA,NA,0,9,2008,wd,normal,230000
24,120,rm,44.0,4224,pave,NA,reg,lvl,allpub,inside,gtl,meadowv,norm,norm,twnhse,1story,5,7,1976,1976,gable,compshg,cemntbd,cmentbd,none,0.0,ta,ta,pconc,gd,ta,no,glq,840,unf,0,200,1040,gasa,ta,y,sbrkr,1060,0,0,1060,1,0,1,0,3,1,ta,6,typ,1,ta,attchd,1976.0,unf,2,572,ta,ta,y,100,110,0,0,0,0,NA,NA,NA,0,6,2007,wd,normal,129900
25,20,rl,69.0,8246,pave,NA,ir1,lvl,allpub,inside,gtl,sawyer,norm,norm,1fam,1story,5,8,1968,2001,gable,compshg,plywood,plywood,none,0.0,ta,gd,cblock,ta,ta,mn,rec,188,alq,668,204,1060,gasa,ex,y,sbrkr,1060,0,0,1060,1,0,1,0,3,1,gd,6,typ,1,ta,attchd,1968.0,unf,1,270,ta,ta,y,406,90,0,0,0,0,NA,mnprv,NA,0,5,2010,wd,normal,154000
26,20,rl,110.0,14230,pave,NA,reg,lvl,allpub,corner,gtl,nridght,norm,norm,1fam,1story,8,5,2007,2007,gable,compshg,vinylsd,vinylsd,stone,640.0,gd,ta,pconc,gd,ta,no,unf,0,unf,0,1566,1566,gasa,ex,y,sbrkr,1600,0,0,1600,0,0,2,0,3,1,gd,7,typ,1,gd,attchd,2007.0,rfn,3,890,ta,ta,y,0,56,0,0,0,0,NA,NA,NA,0,7,2009,wd,normal,256300
27,20,rl,60.0,7200,pave,NA,reg,lvl,allpub,corner,gtl,names,norm,norm,1fam,1story,5,7,1951,2000,gable,compshg,wd sdng,wd sdng,none,0.0,ta,ta,cblock,ta,ta,mn,blq,234,rec,486,180,900,gasa,ta,y,sbrkr,900,0,0,900,0,1,1,0,3,1,gd,5,typ,0,NA,detchd,2005.0,unf,2,576,ta,ta,y,222,32,0,0,0,0,NA,NA,NA,0,5,2010,wd,normal,134800
28,20,rl,98.0,11478,pave,NA,reg,lvl,allpub,inside,gtl,nridght,norm,norm,1fam,1story,8,5,2007,2008,gable,compshg,vinylsd,vinylsd,stone,200.0,gd,ta,pconc,ex,ta,no,glq,1218,unf,0,486,1704,gasa,ex,y,sbrkr,1704,0,0,1704,1,0,2,0,3,1,gd,7,typ,1,gd,attchd,2008.0,rfn,3,772,ta,ta,y,0,50,0,0,0,0,NA,NA,NA,0,5,2010,wd,normal,306000
29,20,rl,47.0,16321,pave,NA,ir1,lvl,allpub,culdsac,gtl,names,norm,norm,1fam,1story,5,6,1957,1997,gable,compshg,metalsd,metalsd,none,0.0,ta,ta,cblock,ta,ta,gd,blq,1277,unf,0,207,1484,gasa,ta,y,sbrkr,1600,0,0,1600,1,0,1,0,2,1,ta,6,typ,2,gd,attchd,1957.0,rfn,1,319,ta,ta,y,288,258,0,0,0,0,NA,NA,NA,0,12,2006,wd,normal,207500
30,30,rm,60.0,6324,pave,NA,ir1,lvl,allpub,inside,gtl,brkside,feedr,rrnn,1fam,1story,4,6,1927,1950,gable,compshg,metalsd,metalsd,none,0.0,ta,ta,brktil,ta,ta,no,unf,0,unf,0,520,520,gasa,fa,n,sbrkr,520,0,0,520,0,0,1,0,1,1,fa,4,typ,0,NA,detchd,1920.0,unf,1,240,fa,ta,y,49,0,87,0,0,0,NA,NA,NA,0,5,2008,wd,normal,68500
31,70,c (all),50.0,8500,pave,pave,reg,lvl,allpub,inside,gtl,idotrr,feedr,norm,1fam,2story,4,4,1920,1950,gambrel,compshg,brkface,brkface,none,0.0,ta,fa,brktil,ta,ta,no,unf,0,unf,0,649,649,gasa,ta,n,sbrkr,649,668,0,1317,0,0,1,0,3,1,ta,6,typ,0,NA,detchd,1920.0,unf,1,250,ta,fa,n,0,54,172,0,0,0,NA,mnprv,NA,0,7,2008,wd,normal,40000
32,20,rl,69.0,8544,pave,NA,ir1,lvl,allpub,culdsac,gtl,sawyer,norm,norm,1fam,1story,5,6,1966,2006,gable,compshg,hdboard,hdboard,none,0.0,ta,ta,cblock,ta,ta,no,unf,0,unf,0,1228,1228,gasa,gd,y,sbrkr,1228,0,0,1228,0,0,1,1,3,1,gd,6,typ,0,NA,attchd,1966.0,unf,1,271,ta,ta,y,0,65,0,0,0,0,NA,mnprv,NA,0,6,2008,wd,normal,149350
33,20,rl,85.0,11049,pave,NA,reg,lvl,allpub,corner,gtl,collgcr,norm,norm,1fam,1story,8,5,2007,2007,gable,compshg,vinylsd,vinylsd,none,0.0,gd,ta,pconc,ex,ta,av,unf,0,unf,0,1234,1234,gasa,ex,y,sbrkr,1234,0,0,1234,0,0,2,0,3,1,gd,7,typ,0,NA,attchd,2007.0,rfn,2,484,ta,ta,y,0,30,0,0,0,0,NA,NA,NA,0,1,2008,wd,normal,179900
34,20,rl,70.0,10552,pave,NA,ir1,lvl,allpub,inside,gtl,names,norm,norm,1fam,1story,5,5,1959,1959,hip,compshg,brkface,brkface,none,0.0,ta,ta,cblock,ta,ta,no,rec,1018,unf,0,380,1398,gasa,gd,y,sbrkr,1700,0,0,1700,0,1,1,1,4,1,gd,6,typ,1,gd,attchd,1959.0,rfn,2,447,ta,ta,y,0,38,0,0,0,0,NA,NA,NA,0,4,2010,wd,normal,165500
35,120,rl,60.0,7313,pave,NA,reg,lvl,allpub,inside,gtl,nridght,norm,norm,twnhse,1story,9,5,2005,2005,hip,compshg,metalsd,metalsd,brkface,246.0,ex,ta,pconc,ex,ta,no,glq,1153,unf,0,408,1561,gasa,ex,y,sbrkr,1561,0,0,1561,1,0,2,0,2,1,ex,6,typ,1,gd,attchd,2005.0,fin,2,556,ta,ta,y,203,47,0,0,0,0,NA,NA,NA,0,8,2007,wd,normal,277500
36,60,rl,108.0,13418,pave,NA,reg,lvl,allpub,inside,gtl,nridght,norm,norm,1fam,2story,8,5,2004,2005,gable,compshg,vinylsd,vinylsd,stone,132.0,gd,ta,pconc,ex,ta,av,unf,0,unf,0,1117,1117,gasa,ex,y,sbrkr,1132,1320,0,2452,0,0,3,1,4,1,gd,9,typ,1,gd,builtin,2004.0,fin,3,691,ta,ta,y,113,32,0,0,0,0,NA,NA,NA,0,9,2006,wd,normal,309000
37,20,rl,112.0,10859,pave,NA,reg,lvl,allpub,corner,gtl,collgcr,norm,norm,1fam,1story,5,5,1994,1995,gable,compshg,vinylsd,vinylsd,none,0.0,ta,ta,pconc,gd,ta,no,unf,0,unf,0,1097,1097,gasa,ex,y,sbrkr,1097,0,0,1097,0,0,1,1,3,1,ta,6,typ,0,NA,attchd,1995.0,unf,2,672,ta,ta,y,392,64,0,0,0,0,NA,NA,NA,0,6,2009,wd,normal,145000
38,20,rl,74.0,8532,pave,NA,reg,lvl,allpub,inside,gtl,names,norm,norm,1fam,1story,5,6,1954,1990,hip,compshg,wd sdng,wd sdng,brkface,650.0,ta,ta,cblock,ta,ta,no,rec,1213,unf,0,84,1297,gasa,gd,y,sbrkr,1297,0,0,1297,0,1,1,0,3,1,ta,5,typ,1,ta,attchd,1954.0,fin,2,498,ta,ta,y,0,0,0,0,0,0,NA,NA,NA,0,10,2009,wd,normal,153000
39,20,rl,68.0,7922,pave,NA,reg,lvl,allpub,inside,gtl,names,norm,norm,1fam,1story,5,7,1953,2007,gable,compshg,vinylsd,vinylsd,none,0.0,ta,gd,cblock,ta,ta,no,glq,731,unf,0,326,1057,gasa,ta,y,sbrkr,1057,0,0,1057,1,0,1,0,3,1,gd,5,typ,0,NA,detchd,1953.0,unf,1,246,ta,ta,y,0,52,0,0,0,0,NA,NA,NA,0,1,2010,wd,abnorml,109000
40,90,rl,65.0,6040,pave,NA,reg,lvl,allpub,inside,gtl,edwards,norm,norm,duplex,1story,4,5,1955,1955,gable,compshg,asbshng,plywood,none,0.0,ta,ta,pconc,NA,NA,NA,NA,0,NA,0,0,0,gasa,ta,n,fusep,1152,0,0,1152,0,0,2,0,2,2,fa,6,typ,0,NA,NA,1980.0,NA,0,0,NA,NA,n,0,0,0,0,0,0,NA,NA,NA,0,6,2008,wd,adjland,82000
41,20,rl,84.0,8658,pave,NA,reg,lvl,allpub,inside,gtl,names,norm,norm,1fam,1story,6,5,1965,1965,gable,compshg,wd sdng,wd sdng,brkface,101.0,ta,ta,cblock,ta,ta,no,rec,643,unf,0,445,1088,gasa,ex,y,sbrkr,1324,0,0,1324,0,0,2,0,3,1,ta,6,typ,1,ta,attchd,1965.0,rfn,2,440,ta,ta,y,0,138,0,0,0,0,NA,gdwo,NA,0,12,2006,wd,abnorml,160000
42,20,rl,115.0,16905,pave,NA,reg,lvl,allpub,inside,gtl,timber,norm,norm,1fam,1story,5,6,1959,1959,gable,compshg,vinylsd,vinylsd,none,0.0,ta,gd,cblock,ta,ta,gd,blq,967,unf,0,383,1350,gasa,gd,y,sbrkr,1328,0,0,1328,0,1,1,1,2,1,ta,5,typ,2,gd,attchd,1959.0,rfn,1,308,ta,ta,p,0,104,0,0,0,0,NA,NA,NA,0,7,2007,wd,normal,170000
43,85,rl,69.0,9180,pave,NA,ir1,lvl,allpub,culdsac,gtl,sawyerw,norm,norm,1fam,sfoyer,5,7,1983,1983,gable,compshg,hdboard,hdboard,none,0.0,ta,ta,cblock,gd,ta,av,alq,747,lwq,93,0,840,gasa,gd,y,sbrkr,884,0,0,884,1,0,1,0,2,1,gd,5,typ,0,NA,attchd,1983.0,rfn,2,504,ta,gd,y,240,0,0,0,0,0,NA,mnprv,NA,0,12,2007,wd,normal,144000
44,20,rl,69.0,9200,pave,NA,ir1,lvl,allpub,culdsac,gtl,collgcr,norm,norm,1fam,1story,5,6,1975,1980,hip,compshg,vinylsd,vinylsd,none,0.0,ta,ta,cblock,gd,ta,av,lwq,280,blq,491,167,938,gasa,ta,y,sbrkr,938,0,0,938,1,0,1,0,3,1,ta,5,typ,0,NA,detchd,1977.0,unf,1,308,ta,ta,y,145,0,0,0,0,0,NA,mnprv,NA,0,7,2008,wd,normal,130250
45,20,rl,70.0,7945,pave,NA,reg,lvl,allpub,inside,gtl,names,norm,norm,1fam,1story,5,6,1959,1959,gable,compshg,brkface,wd sdng,none,0.0,ta,ta,cblock,ta,ta,no,alq,179,blq,506,465,1150,gasa,ex,y,fusea,1150,0,0,1150,1,0,1,0,3,1,ta,6,typ,0,NA,attchd,1959.0,rfn,1,300,ta,ta,y,0,0,0,0,0,0,NA,NA,NA,0,5,2006,wd,normal,141000
46,120,rl,61.0,7658,pave,NA,reg,lvl,allpub,inside,gtl,nridght,norm,norm,twnhse,1story,9,5,2005,2005,hip,compshg,metalsd,metalsd,brkface,412.0,ex,ta,pconc,ex,ta,no,glq,456,unf,0,1296,1752,gasa,ex,y,sbrkr,1752,0,0,1752,1,0,2,0,2,1,ex,6,typ,1,gd,attchd,2005.0,rfn,2,576,ta,ta,y,196,82,0,0,0,0,NA,NA,NA,0,2,2010,wd,normal,319900
47,50,rl,48.0,12822,pave,NA,ir1,lvl,allpub,culdsac,gtl,mitchel,norm,norm,1fam,1.5fin,7,5,2003,2003,gable,compshg,vinylsd,vinylsd,none,0.0,gd,ta,pconc,ex,ta,no,glq,1351,unf,0,83,1434,gasa,ex,y,sbrkr,1518,631,0,2149,1,0,1,1,1,1,gd,6,typ,1,ex,attchd,2003.0,rfn,2,670,ta,ta,y,168,43,0,0,198,0,NA,NA,NA,0,8,2009,wd,abnorml,239686
48,20,fv,84.0,11096,pave,NA,reg,lvl,allpub,inside,gtl,somerst,norm,norm,1fam,1story,8,5,2006,2006,gable,compshg,vinylsd,vinylsd,none,0.0,gd,ta,pconc,gd,ta,av,glq,24,unf,0,1632,1656,gasa,ex,y,sbrkr,1656,0,0,1656,0,0,2,0,3,1,gd,7,typ,0,NA,attchd,2006.0,rfn,3,826,ta,ta,y,0,146,0,0,0,0,NA,NA,NA,0,7,2007,wd,normal,249700
49,190,rm,33.0,4456,pave,NA,reg,lvl,allpub,inside,gtl,oldtown,norm,norm,2fmcon,2story,4,5,1920,2008,gable,compshg,metalsd,metalsd,none,0.0,ta,ta,brktil,ta,ta,no,unf,0,unf,0,736,736,gasa,gd,y,sbrkr,736,716,0,1452,0,0,2,0,2,3,ta,8,typ,0,NA,NA,1980.0,NA,0,0,NA,NA,n,0,0,102,0,0,0,NA,NA,NA,0,6,2009,new,partial,113000
50,20,rl,66.0,7742,pave,NA,reg,lvl,allpub,inside,gtl,sawyer,norm,norm,1fam,1story,5,7,1966,1966,gable,compshg,hdboard,hdboard,none,0.0,ta,ta,cblock,ta,ta,no,blq,763,unf,0,192,955,gasa,ex,y,sbrkr,955,0,0,955,1,0,1,0,3,1,ta,6,typ,0,NA,attchd,1966.0,unf,1,386,ta,ta,y,0,0,0,0,0,0,NA,mnprv,NA,0,1,2007,wd,normal,127000
51,60,rl,69.0,13869,pave,NA,ir2,lvl,allpub,corner,gtl,gilbert,norm,norm,1fam,2story,6,6,1997,1997,gable,compshg,vinylsd,vinylsd,none,0.0,ta,ta,pconc,gd,ta,av,glq,182,unf,0,612,794,gasa,gd,y,sbrkr,794,676,0,1470,0,1,2,0,3,1,ta,6,typ,0,NA,attchd,1997.0,fin,2,388,ta,ta,y,0,75,0,0,0,0,NA,NA,NA,0,7,2007,wd,normal,177000
52,50,rm,52.0,6240,pave,NA,reg,lvl,allpub,inside,gtl,brkside,norm,norm,1fam,1.5fin,6,6,1934,1950,gable,compshg,wd sdng,wd sdng,none,0.0,ta,ta,pconc,ta,ta,no,unf,0,unf,0,816,816,gasa,ta,y,sbrkr,816,0,360,1176,0,0,1,0,3,1,ta,6,typ,1,gd,detchd,1985.0,unf,2,528,ta,ta,y,112,0,0,0,0,0,NA,mnprv,shed,400,9,2006,wd,normal,114500
53,90,rm,110.0,8472,grvl,NA,ir2,bnk,allpub,corner,mod,idotrr,rrnn,norm,duplex,1story,5,5,1963,1963,gable,compshg,wd sdng,wd sdng,none,0.0,fa,ta,cblock,gd,ta,gd,lwq,104,glq,712,0,816,gasa,ta,n,sbrkr,816,0,0,816,1,0,1,0,2,1,ta,5,typ,0,NA,carport,1963.0,unf,2,516,ta,ta,y,106,0,0,0,0,0,NA,NA,NA,0,5,2010,wd,normal,110000
54,20,rl,68.0,50271,pave,NA,ir1,low,allpub,inside,gtl,veenker,norm,norm,1fam,1story,9,5,1981,1987,gable,wdshngl,wdshing,wd shng,none,0.0,gd,ta,cblock,ex,ta,gd,glq,1810,unf,0,32,1842,gasa,gd,y,sbrkr,1842,0,0,1842,2,0,0,1,0,1,gd,5,typ,1,gd,attchd,1981.0,fin,3,894,ta,ta,y,857,72,0,0,0,0,NA,NA,NA,0,11,2006,wd,normal,385000
55,80,rl,60.0,7134,pave,NA,reg,bnk,allpub,inside,mod,names,norm,norm,1fam,slvl,5,5,1955,1955,gable,compshg,metalsd,metalsd,none,0.0,ta,ta,cblock,ta,ta,no,alq,384,unf,0,0,384,gasa,ta,y,sbrkr,1360,0,0,1360,0,0,1,0,3,1,ta,6,min1,1,ta,detchd,1962.0,unf,2,572,ta,ta,y,0,50,0,0,0,0,NA,mnprv,NA,0,2,2007,wd,normal,130000
